epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1024.92,1.03785,0.55045,1.14529,0.89489,0.84062,0.89449,0.47936,1.10643,0.48677,1.30505,0.000445839,0.000445839,0.000445839
43,1049.55,1.06766,0.55462,1.14998,0.87821,0.84805,0.89086,0.46569,1.15901,0.50118,1.31285,0.000441835,0.000441835,0.000441835
44,1075.82,1.02979,0.53726,1.13058,0.88656,0.84568,0.8859,0.47508,1.09906,0.49681,1.26267,0.000437832,0.000437832,0.000437832
45,1102.6,1.04671,0.55881,1.12666,0.90906,0.83414,0.89554,0.4769,1.10462,0.4756,1.26401,0.000433828,0.000433828,0.000433828
46,1131.1,1.02052,0.5373,1.1278,0.90889,0.8283,0.89424,0.48408,1.11152,0.47864,1.26713,0.000429824,0.000429824,0.000429824
47,1161.32,1.05111,0.54027,1.13181,0.86059,0.86472,0.88754,0.49354,1.05047,0.46925,1.263,0.00042582,0.00042582,0.00042582
48,1190.55,1.01267,0.53264,1.12586,0.90136,0.86084,0.89625,0.50077,1.05972,0.46582,1.25354,0.000421816,0.000421816,0.000421816
49,1223.56,1.01655,0.53323,1.13475,0.91235,0.85094,0.89918,0.48682,1.06003,0.48366,1.25644,0.000417812,0.000417812,0.000417812
50,1248.88,1.00706,0.53119,1.11902,0.88845,0.84982,0.89372,0.48053,1.11348,0.49209,1.28083,0.000413808,0.000413808,0.000413808
51,1273.5,1.0054,0.52219,1.12153,0.90878,0.83733,0.90047,0.50167,1.07136,0.48037,1.24735,0.000409804,0.000409804,0.000409804
52,1298.87,0.96697,0.52474,1.09855,0.91163,0.86817,0.91505,0.51185,1.05522,0.46771,1.25476,0.0004058,0.0004058,0.0004058
53,1325.01,0.99596,0.53146,1.1183,0.8778,0.8833,0.90952,0.50779,1.0431,0.46789,1.24683,0.000401796,0.000401796,0.000401796
